0  1.24993 0.0018226  0.875472  182.256
0.289001  1.0251  -1.62335  83.9212  117.858
0.290001  1.10359  -1.50136  72.9438  126.083
0.291001  1.17075  -1.37127  61.2361  134.049
0.292001  1.22582  -1.23336  48.7817  141.713
0.293001  1.26804  -1.08797  35.5263  148.996
0.294001  1.29658  -0.935537  21.391  155.773
0.295001  1.3105  -0.776647  6.29091  161.88
0.296001  1.30881  -0.612062  -9.84515  167.132
0.297001  1.29045  -0.442732  -27.056  171.338
0.298001  1.25434  -0.269792  -45.3363  174.326
0.299001  1.19944  -0.0945437  -64.63  175.923
0.300001  1.12479  0.0815127  -84.8129  175.892
0.301001  1.0296  0.256562  -105.628  173.821
0.302001  0.913489  0.428271  -126.556  169.099
0.303001  0.776743  0.593686  -146.719  161.174
0.304001  0.620679  0.749541  -164.998  150.04
0.305001  0.447771  0.892905  -180.201  136.328
0.306001  0.261738  1.02162  -191.022  120.899
0.307001  0.0675845  1.13444  -196.306  104.684
0.308001  -0.128948  1.23108  -195.857  88.7183
0.309001  -0.322544  1.31225  -190.669  73.8462
0.310001  -0.509218  1.37927  -182.268  60.4738
0.311001  -0.686475  1.43371  -172.034  48.6399
0.312001  -0.853007  1.47702  -160.949  38.2027
0.313001  -1.0083  1.51051  -149.626  28.9718
0.314001  -1.1523  1.53531  -138.415  20.7663
0.315001  -1.28523  1.55234  -127.501  13.4317
0.316001  -1.40743  1.56242  -116.972  6.83986
0.317001  -1.51931  1.56623  -106.855  0.884573
0.318001  -1.62127  1.56437  -97.1444  -4.52282
0.319001  -1.71372  1.55734  -87.8166  -9.45746
0.320001  -1.79702  1.54559  -78.8364  -13.9838
0.321001  -1.8715  1.52949  -70.1625  -18.1577
0.322001  -1.93744  1.50937  -61.751  -22.0283
0.323001  -1.99507  1.48552  -53.5561  -25.6386
0.324001  -2.0446  1.45817  -45.5311  -29.0274
0.325001  -2.08618  1.42753  -37.629  -32.2289
0.326001  -2.11989  1.39377  -29.8021  -35.2742
0.327001  -2.14579  1.35702  -22.0022  -38.1914
0.328001  -2.16388  1.31742  -14.1798  -41.006
0.329001  -2.17413  1.27504  -6.28415  -43.7415
0.330001  -2.17641  1.22995  1.73736  -46.4192
0.331001  -2.17059  1.18221  9.93998  -49.059
0.332001  -2.15645  1.13184  18.3821  -51.6792
0.333001  -2.13373  1.07885  27.1262  -54.2967
0.334001  -2.10208  1.02324  36.2394  -56.9271
0.335001  -2.0611  0.96499  45.7946  -59.5847
0.336001  -2.01031  0.904061  55.8719  -62.2823
0.337001  -1.94915  0.840409  66.5596  -65.0314
0.338001  -1.87696  0.773978  77.9559  -67.8415
0.339001  -1.79297  0.704703  90.1709  -70.7197
0.340001  -1.6963  0.632514  103.329  -73.6698
0.341001  -1.58595  0.55734  117.572  -76.691
0.342001  -1.46074  0.479111  133.062  -79.7753
0.343001  -1.31935  0.397775  149.988  -82.902
0.344001  -1.16021  0.313307  168.574  -86.0286
0.345001  -0.981559  0.225746  189.083  -89.0667
0.346001  -0.7813  0.135265  211.839  -91.8211
0.347001  -0.557004  0.0423574  237.226  -93.7834
0.348001  -0.305864  -0.0514915  265.512  -93.137
0.349001  -0.0267935  -0.13989  288.367  -79.5261
0.350001  0.257433  -0.208307  275.047  -59.3704
0.351001  0.520036  -0.262107  250.096  -49.1368
0.352001  0.758038  -0.307695  226.219  -42.4005
0.353001  0.973134  -0.347442  204.304  -37.2961
0.354001  1.16729  -0.382614  184.307  -33.1806
0.355001  1.34233  -0.414028  166.052  -29.7449
0.356001  1.49991  -0.44227  149.348  -26.8114
0.357001  1.64148  -0.46778  134.013  -24.2654
0.358001  1.76833  -0.490903  119.881  -22.0274
0.359001  1.8816  -0.511918  106.806  -20.0389
0.360001  1.98225  -0.531049  94.6531  -18.2552
0.361001  2.07117  -0.548484  83.3039  -16.6406
0.362001  2.14909  -0.564377  72.6504  -15.1663
0.363001  2.21667  -0.578856  62.5951  -13.8079
0.364001  2.27445  -0.592025  53.0491  -12.5448
0.365001  2.32291  -0.603971  43.9305  -11.3588
0.366001  2.36243  -0.614763  35.1637  -10.2338
0.367001  2.39333  -0.624454  26.6778  -9.15497
0.368001  2.41586  -0.633084  18.4058  -8.10859
0.369001  2.43019  -0.640678  10.2838  -7.08153
0.370001  2.43645  -0.647249  2.24987  -6.06098
0.371001  2.4347  -0.652797  -5.75648  -5.03416
0.372001  2.42493  -0.657311  -13.7954  -3.98799
0.373001  2.40708  -0.660762  -21.9273  -2.90883
0.374001  2.38102  -0.663113  -30.2136  -1.78212
0.375001  2.34658  -0.664306  -38.7176  -0.592035
0.376001  2.30349  -0.66427  -47.5054  0.679005
0.377001  2.25145  -0.662914  -56.6465  2.05082
0.378001  2.19006  -0.660127  -66.2149  3.54615
0.379001  2.11885  -0.655772  -76.2896  5.19152
